l1,l2,l3,l3_id,brand,brand_num,imgUrl,imgTagUrl,useCounpon,isDiscount,haveGift,item_name,special_title,item_id,price,stock,page,max_page,rank,icons
ç¾,ä¿,«çä¿,1118600000,SWISSFORCE,2.01912E+16,https://img1.momoshop.com.tw/goodsimg/0007/276/552/7276552_L.jpg?t=1619311385,,TRUE,FALSE,FALSE,SWISSFORCEä¿®è­·ç²¾è 30ml(ä¿®è­·æ³ ç´çµ/åº),æ»1ä»¶äº«79,7276552,948,2,1,1,0,","
ç¾,ä¿,«çä¿,1118600000,SWISSFORCE,2.01912E+16,https://img3.momoshop.com.tw/goodsimg/0007/276/551/7276551_L.jpg?t=1619311226,,TRUE,FALSE,FALSE,SWISSFORCEé»·¨²¾ 30ml(¹å / ),æ»1ä»¶äº«79,7276551,948,13,1,1,1,","
ä¿/é£,«æ/¥å,å±®¶§è­·,1203000008,,2.01608E+16,https://img2.momoshop.com.tw/goodsimg/0008/250/640/8250640_L.jpg?t=1619215757,,FALSE,TRUE,FALSE,½ã2¥çå¯ä¸7å¤7¼åå½¢èç´(D7B),æ»50050,8250640,168,4,1,1,0,",»è"
¥ç´»,å®¶çæ¸,¤è¤æ,3900700000,å®¶éå¸,2.01706E+16,https://img2.momoshop.com.tw/goodsimg/0006/126/589/6126589_L.jpg?t=1619108002,,TRUE,FALSE,FALSE,®¶©å-è²22²¾è£ ·çæ±-²éäº®çç¾¸«(¥å),é£½æ»¿·ç²ïå¤§åç¾ï¼ç¡¬å,6126589,1299,0,1,1,0,",,»è"
¥ç´»,å®¶çæ¸,¤è¤æ,3900700000,å®¶éå¸,2.01706E+16,https://img3.momoshop.com.tw/goodsimg/0005/259/040/5259040_L.jpg?t=1618502569,,FALSE,FALSE,FALSE,®¶©å-è²11ç£¢å-²éäº®çç¾¸«(°çç²¾è£½4¥å),é£½æ»¿·ç²ïå¤§åç¾ï¼ç¡¬å,5259040,499,0,1,1,1,",»è"
¢å¯¢,¶ç,¶ç,1803900000,,2.01608E+16,https://img4.momoshop.com.tw/goodsimg/0006/343/068/6343068_L.jpg?t=1619125078,,TRUE,FALSE,FALSE,µéå¥§ç   4å°ºåå±¢¨æ«/çµ,æ»1ä»¶äº«84,6343068,26679,10,1,1,0,",»è"
¢å¯¢,¶ç,¶ç,1803900000,,2.01608E+16,https://img4.momoshop.com.tw/goodsimg/0005/467/023/5467023_L.jpg?t=1618686122,,TRUE,FALSE,FALSE,µé    5.3å°ºé¢åé¢¨éæ«/æ«,æ»1ä»¶äº«84,5467023,22748,10,1,1,1,",»è"
¢å¯¢,¶ç,¶ç,1803900000,,2.01608E+16,https://img4.momoshop.com.tw/goodsimg/0006/648/716/6648716_L.jpg?t=1619156378,,TRUE,FALSE,FALSE,µé   4å°ºå¯¦¨éæ«/å±¢¨æ«,æ»1ä»¶äº«84,6648716,19623,10,1,1,2,",»è"
¢å¯¢,¶ç,¶ç,1803900000,,2.01608E+16,https://img4.momoshop.com.tw/goodsimg/0004/560/852/4560852_L.jpg?t=1618519734,,TRUE,FALSE,FALSE,µéå½¼æ   5.3å°ºæç´¢åé¢¨æ/æ«(äº¯é),æ»1ä»¶äº«84,4560852,19354,17,1,1,3,",»è"
